ID;AREA;PUESTO;SUELDO
1757;GERENCIA GENERAL;GERENTE GENERAL;94128
597;PRODUCCION;TEC. MANTENIMIENTO;25129
789;CALIDAD;VOLANTE;24474
791;PRODUCCION;JEFE;44344
804;PRODUCCION;LIDER DE EQUIPO;34235
816;PRODUCCION;LIDER DE EQUIPO;26401
820;CALIDAD;VOLANTE;26682
851;CALIDAD;VOLANTE;23851
864;LOGISTICA;ENCARGADO;25811
867;ALMACEN;TEC. MANTENIMIENTO;25877
872;PRODUCCION;LIDER DE EQUIPO;31150
892;PRODUCCION;LIDER DE EQUIPO;25709
898;PRODUCCION;LIDER DE EQUIPO;22163
918;PRODUCCION;TEC. MANTENIMIENTO;27744
967;LOGISTICA;LIDER DE EQUIPO;27952
972;CALIDAD;VOLANTE;22380
974;LOGISTICA;LIDER DE EQUIPO;28366
980;ALMACEN;ENCARGADO;27665
984;CALIDAD;VOLANTE;23674
1085;ALMACEN;JEFE;61994
1091;PRODUCCION;LIDER DE EQUIPO;26954
1138;ALMACEN;TEC. MANTENIMIENTO;36737
1303;DESARROLLO;INGENIERO;36737
1310;PRODUCCION;INGENIERO;36737
1335;CALIDAD;LIDER DE EQUIPO;41410
1341;COMPRAS;ANALISTA;34523
1368;PRODUCCION;INGENIERO;37196
1415;LOGISTICA;ANALISTA;38010
1423;PRODUCCION;JEFE;39282
1427;DESARROLLO;INGENIERO;42824
1428;DESARROLLO;INGENIERO;41196
1429;DESARROLLO;TEC. DESARROLLO;37618
1436;ALMACEN;LIDER DE EQUIPO;31732
1437;LOGISTICA;JEFE;37876
1440;PRODUCCION;TEC. MANTENIMIENTO;40680
1446;CALIDAD;LIDER DE EQUIPO;34700
1453;PRODUCCION;INGENIERO;37499
1454;PRODUCCION;LIDER DE EQUIPO;38410
1455;PRODUCCION;LIDER DE EQUIPO;36692
1456;PRODUCCION;LIDER DE EQUIPO;36667
1458;PRODUCCION;LIDER DE EQUIPO;36481
1472;PRODUCCION;TEC. MANTENIMIENTO;30266
1474;PRODUCCION;TEC. MANTENIMIENTO;32551
1475;PRODUCCION;TEC. MANTENIMIENTO;32411
1495;CALIDAD;VOLANTE;27124
1499;PRODUCCION;LIDER DE EQUIPO;33332
1504;COMPRAS;JEFE;53115
1604;DESARROLLO;INGENIERO;41873
1606;PRODUCCION;TEC. MANTENIMIENTO;28784
1611;PRODUCCION;JEFE;40147
1613;PRODUCCION;INGENIERO;31160
1618;PRODUCCION;TEC. MANTENIMIENTO;30359
1625;LOGISTICA;ANALISTA;25170
1626;LOGISTICA;LIDER DE EQUIPO;31201
1627;LOGISTICA;LIDER DE EQUIPO;31793
1628;LOGISTICA;VOLANTE;23220
1629;COMERCIAL;ANALISTA;21224
1631;LOGISTICA;ANALISTA;19588
1633;CALIDAD;VOLANTE;25409
1634;COMERCIAL;LIDER DE EQUIPO;36991
1637;CALIDAD;GERENTE;65347
1638;PRODUCCION;LIDER DE EQUIPO;28219
1639;PRODUCCION;LIDER DE EQUIPO;30965
1640;LOGISTICA;ANALISTA;26120
1642;FINANZAS;ANALISTA;31487
1654;CALIDAD;VOLANTE;23696
1661;FINANZAS;JEFE;57134
1667;RRHH;ANALISTA;31375
1670;RRHH;ANALISTA;31375
1674;DESARROLLO;INGENIERO;26864
1680;DESARROLLO;TEC. DESARROLLO;24532
1681;PRODUCCION;JEFE;39912
1683;PRODUCCION;JEFE;41802
1684;CALIDAD;VOLANTE;22547
1686;COMERCIAL;LIDER DE EQUIPO;29201
1688;COMERCIAL;JEFE;47185
1689;FINANZAS;ANALISTA;26443
1691;DESARROLLO;TEC. DESARROLLO;18114
1692;FINANZAS;ANALISTA;29922
1699;RRHH;ANALISTA;19622
1703;PRODUCCION;TEC. MANTENIMIENTO;27700
1708;DESARROLLO;INGENIERO;25795
1709;COMERCIAL;ANALISTA;21108
1712;ALMACEN;ANALISTA;17990
1714;PRODUCCION;TEC. MANTENIMIENTO;31340
1717;LOGISTICA;LIDER DE EQUIPO;30833
1722;PRODUCCION;LIDER DE EQUIPO;37710
1729;LOGISTICA;ANALISTA;22954
1730;LOGISTICA;LIDER DE EQUIPO;29237
1732;COMERCIAL;ANALISTA;24329
1733;PRODUCCION;INGENIERO;26383
1735;FINANZAS;ANALISTA;19254
1736;GERENCIA GENERAL;ANALISTA;19128
1737;CALIDAD;JEFE;31879
1738;MASS;JEFE;41351
1739;DESARROLLO;JEFE;44869
1740;LOGISTICA;ANALISTA;14776
1741;FINANZAS;ANALISTA;16253
1742;LOGISTICA;ANALISTA;27324
1743;LOGISTICA;ANALISTA;16253
1744;CALIDAD;INGENIERO;31489
1746;LOGISTICA;LIDER DE EQUIPO;35783
1747;PRODUCCION;ANALISTA;23854
1748;COMPRAS;INGENIERO;41818
1749;PRODUCCION;INGENIERO;26928
1751;LOGISTICA;JEFE;42768
1752;COMERCIAL;ANALISTA;21384
1753;PRODUCCION;TEC. MANTENIMIENTO;23681
1754;CALIDAD;INGENIERO;28190
1755;COMERCIAL;ANALISTA;18122
1756;PRODUCCION;INGENIERO;23398
1758;PRODUCCION;TEC. MANTENIMIENTO;24865
1759;DESARROLLO;INGENIERO;22283
1760;COMERCIAL;ANALISTA;18122
1761;MASS;ANALISTA;20136
1762;PRODUCCION;INGENIERO;22283
1763;CALIDAD;INGENIERO;28190
1764;COMERCIAL;ANALISTA;16080
1765;RRHH;ANALISTA;21600
1766;PRODUCCION;INGENIERO;22200
1767;COMERCIAL;ANALISTA;15600
1768;PRODUCCION;TEC. MANTENIMIENTO;15975
3000;CALIDAD;VOLANTE;25586
3009;PRODUCCION;LIDER DE EQUIPO;28366
3010;PRODUCCION;LIDER DE EQUIPO;25586
3018;PRODUCCION;INGENIERO;24990
3048;PRODUCCION;LIDER DE EQUIPO;28366
3051;PRODUCCION;LIDER DE EQUIPO;26414
1404;DESARROLLO;GERENTE;79729
1464;PRODUCCION;GERENTE;84366
1471;CALIDAD;GERENTE;86366
1601;COMERCIAL;GERENTE;66164
1619;LOGISTICA;GERENTE;64016
1621;PRODUCCION;GERENTE;71340
1687;RRHH;GERENTE;83453
